id,domain,pmid,name,osEntrez
GO:0098794,CC,15496678,postsynapse (GO:0098794),18791
GO:0099091,CC,14529711,"postsynaptic specialization, intracellular component (GO:0099091)",17096
GO:0099183,BP,15486301,"trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)",18791
GO:0099091,CC,14529711,"postsynaptic specialization, intracellular component (GO:0099091)",22612
GO:0050804,BP,27453502,modulation of chemical synaptic transmission (GO:0050804),19073
GO:0099091,CC,14529711,"postsynaptic specialization, intracellular component (GO:0099091)",16818
GO:0099056,CC,25120439,integral component of presynaptic membrane (GO:0099056),243616
GO:0098810,BP,1975955,neurotransmitter reuptake (GO:0098810),232333
GO:0099056,CC,14657159,integral component of presynaptic membrane (GO:0099056),242425
GO:0060074,BP,28712654,synapse maturation (GO:0060074),12032
GO:0099524,CC,11756682,postsynaptic cytosol (GO:0099524),13684
GO:0099524,CC,11756682,postsynaptic cytosol (GO:0099524),56717
GO:0099175,BP,24990929,regulation of postsynapse organization (GO:0099175),15387
GO:0099175,BP,21926414,regulation of postsynapse organization (GO:0099175),239027
GO:0099175,BP,21926414,regulation of postsynapse organization (GO:0099175),331461
GO:2000300,BP,26637799,regulation of synaptic vesicle exocytosis (GO:2000300),26431
GO:0099179,BP,23751499,regulation of synaptic membrane adhesion (GO:0099179),50791
GO:0098696,BP,21123580,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696),11487
GO:0098974,BP,12878700,postsynaptic actin cytoskeleton organization (GO:0098974),56320
GO:0099159,BP,25698751,regulation of modification of postsynaptic structure (GO:0099159),68942
GO:0045211,CC,15700273,postsynaptic membrane (GO:0045211),56320
GO:0098794,CC,7955321,postsynapse (GO:0098794),19242
GO:0099055,CC,20657592,integral component of postsynaptic membrane (GO:0099055),66082
GO:1905606,BP,20395510,regulation of presynapse assembly (GO:1905606),12404
GO:0099151,BP,20395510,regulation of postsynaptic density assembly (GO:0099151),12404
GO:0099151,BP,20395510,regulation of postsynaptic density assembly (GO:0099151),14804
GO:1905606,BP,20395510,regulation of presynapse assembly (GO:1905606),14804
GO:0099054,BP,21410790,presynapse assembly (GO:0099054),18189
GO:0099151,BP,21410790,regulation of postsynaptic density assembly (GO:0099151),18189
GO:1905606,BP,21410790,regulation of presynapse assembly (GO:1905606),12405
GO:1905606,BP,21410790,regulation of presynapse assembly (GO:1905606),14804
GO:0099183,BP,15486301,"trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)",18815
GO:0099175,BP,27453502,regulation of postsynapse organization (GO:0099175),19073
GO:0150047,BP,11498050,G-protein coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential (GO:0150047),14400
GO:0097091,BP,23028145,synaptic vesicle clustering (GO:0097091),
GO:0099056,CC,11591452,integral component of presynaptic membrane (GO:0099056),108069
GO:0099171,BP,10381597,presynaptic modulation of chemical synaptic transmission (GO:0099171),15550
GO:2000300,BP,17067296,regulation of synaptic vesicle exocytosis (GO:2000300),15551
GO:0099060,CC,16082681,integral component of postsynaptic specialization membrane (GO:0099060),15563
GO:0099171,BP,10234032,presynaptic modulation of chemical synaptic transmission (GO:0099171),15551
GO:0099092,CC,12388603,"postsynaptic density, intracellular component (GO:0099092)",18125
GO:0099645,BP,25284783,neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645),216963
GO:0099560,BP,22275477,synapse adhesion between pre- and post-synapse (GO:0099560),13640
GO:0099060,CC,11588172,integral component of postsynaptic specialization membrane (GO:0099060),11441
GO:0099056,CC,27052163,integral component of presynaptic membrane (GO:0099056),69017
GO:0099507,BP,17620617,ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507),14806
GO:0098919,BP,21217644,structural constituent of postsynaptic density (GO:0098919),210274
GO:0098919,BP,21217644,structural constituent of postsynaptic density (GO:0098919),58234
GO:0099175,BP,21217644,regulation of postsynapse organization (GO:0099175),210274
GO:0099175,BP,21217644,regulation of postsynapse organization (GO:0099175),58234
GO:0014069,CC,17559090,postsynaptic density (GO:0014069),56320
GO:0045211,CC,17559090,postsynaptic membrane (GO:0045211),56320
GO:0050807,BP,21788491,regulation of synapse organization (GO:0050807),13602
GO:2000300,BP,15848802,regulation of synaptic vesicle exocytosis (GO:2000300),29873
GO:0098793,CC,24966370,presynapse (GO:0098793),65079
GO:1904315,BP,12160751,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14810
GO:1904315,BP,12160751,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14811
GO:1904315,BP,12160751,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14812
GO:0098992,CC,21976424,neuronal dense core vesicle (GO:0098992),18791
GO:0045202,CC,16452087,synapse (GO:0045202),51792
GO:0099544,CC,16555239,extrasynaptic space (GO:0099544),18791
GO:0098794,CC,16555239,postsynapse (GO:0098794),18791
GO:1904315,BP,9221765,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11435
GO:1904315,BP,7531341,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11448
GO:1904315,BP,7531341,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11443
GO:1904315,BP,2423878,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11448
GO:1904315,BP,2423878,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11449
GO:1904315,BP,11435464,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11447
GO:1904315,BP,23811311,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11444
GO:1904315,BP,23811311,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),108015
GO:0099056,CC,29114204,integral component of presynaptic membrane (GO:0099056),11438
GO:1904315,BP,16162937,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),110834
GO:0099060,CC,3380297,integral component of postsynaptic specialization membrane (GO:0099060),110834
GO:0099060,CC,3380297,integral component of postsynaptic specialization membrane (GO:0099060),11444
GO:0099060,CC,10414976,integral component of postsynaptic specialization membrane (GO:0099060),11438
GO:1904315,BP,15044058,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11438
GO:1904315,BP,15044058,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11444
GO:1904315,BP,15044058,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),11441
GO:1904315,BP,10875922,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),231252
GO:1904315,BP,11248107,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),504186
GO:0099060,CC,12079404,integral component of postsynaptic specialization membrane (GO:0099060),110834
GO:0098833,CC,23785143,presynaptic endocytic zone (GO:0098833),218038
GO:0099523,CC,23785143,presynaptic cytosol (GO:0099523),20404
GO:0098794,CC,15558718,postsynapse (GO:0098794),233489
GO:0045211,CC,15558718,postsynaptic membrane (GO:0045211),20616
GO:0099060,CC,12079404,integral component of postsynaptic specialization membrane (GO:0099060),11444
GO:0099060,CC,12079404,integral component of postsynaptic specialization membrane (GO:0099060),11441
GO:0099060,CC,12079404,integral component of postsynaptic specialization membrane (GO:0099060),11441
GO:0099171,BP,14657161,presynaptic modulation of chemical synaptic transmission (GO:0099171),108043
GO:0099060,CC,18420419,integral component of postsynaptic specialization membrane (GO:0099060),231252
GO:0099060,CC,18420419,integral component of postsynaptic specialization membrane (GO:0099060),504186
