msEntrez,Association,PMID,Source
76199,Autism,,SFARI-Gene_genes
17260,Autism,,SFARI-Gene_genes
70417,Autism,,SFARI-Gene_genes
214058,Autism,,SFARI-Gene_genes
17536,Autism,,SFARI-Gene_genes
17295,Autism,,SFARI-Gene_genes
259172,Autism,,SFARI-Gene_genes
68347,Autism,,SFARI-Gene_genes
225164,Autism,,SFARI-Gene_genes
77836,Autism,,SFARI-Gene_genes
17428,Autism,,SFARI-Gene_genes
56524,Autism,,SFARI-Gene_genes
20288,Autism,,SFARI-Gene_genes
17764,Autism,,SFARI-Gene_genes
17769,Autism,,SFARI-Gene_genes
56717,Autism,,SFARI-Gene_genes
239719,Autism,,SFARI-Gene_genes
77579,Autism,,SFARI-Gene_genes
17884,Autism,,SFARI-Gene_genes
244281,Autism,,SFARI-Gene_genes
71602,Autism,,SFARI-Gene_genes
17918,Autism,,SFARI-Gene_genes
208943,Autism,,SFARI-Gene_genes
17925,Autism,,SFARI-Gene_genes
17933,Autism,,SFARI-Gene_genes
74838,Autism,,SFARI-Gene_genes
66830,Autism,,SFARI-Gene_genes
78286,Autism,,SFARI-Gene_genes
26422,Autism,,SFARI-Gene_genes
50884,Autism,,SFARI-Gene_genes
210356,Autism,,SFARI-Gene_genes
20185,Autism,,SFARI-Gene_genes
320840,Autism,,SFARI-Gene_genes
18007,Autism,,SFARI-Gene_genes
18015,Autism,,SFARI-Gene_genes
18025,Autism,,SFARI-Gene_genes
18027,Autism,,SFARI-Gene_genes
18028,Autism,,SFARI-Gene_genes
18032,Autism,,SFARI-Gene_genes
78177,Autism,,SFARI-Gene_genes
233280,Autism,,SFARI-Gene_genes
93790,Autism,,SFARI-Gene_genes
71175,Autism,,SFARI-Gene_genes
192167,Autism,,SFARI-Gene_genes
245555,Autism,,SFARI-Gene_genes
216856,Autism,,SFARI-Gene_genes
245537,Autism,,SFARI-Gene_genes
217166,Autism,,SFARI-Gene_genes
13865,Autism,,SFARI-Gene_genes
110784,Autism,,SFARI-Gene_genes
18227,Autism,,SFARI-Gene_genes
319504,Autism,,SFARI-Gene_genes
18187,Autism,,SFARI-Gene_genes
18189,Autism,,SFARI-Gene_genes
15273,Autism,,SFARI-Gene_genes
277250,Autism,,SFARI-Gene_genes
635702,Autism,,SFARI-Gene_genes
68202,Autism,,SFARI-Gene_genes
18143,Autism,,SFARI-Gene_genes
18190,Autism,,SFARI-Gene_genes
18193,Autism,,SFARI-Gene_genes
80883,Autism,,SFARI-Gene_genes
171171,Autism,,SFARI-Gene_genes
18211,Autism,,SFARI-Gene_genes
18212,Autism,,SFARI-Gene_genes
18213,Autism,,SFARI-Gene_genes
77976,Autism,,SFARI-Gene_genes
66647,Autism,,SFARI-Gene_genes
52653,Autism,,SFARI-Gene_genes
234865,Autism,,SFARI-Gene_genes
18231,Autism,,SFARI-Gene_genes
320634,Autism,,SFARI-Gene_genes
382384,Autism,,SFARI-Gene_genes
237222,Autism,,SFARI-Gene_genes
94190,Autism,,SFARI-Gene_genes
258322,Autism,,SFARI-Gene_genes
170711,Autism,,SFARI-Gene_genes
18429,Autism,,SFARI-Gene_genes
18430,Autism,,SFARI-Gene_genes
94045,Autism,,SFARI-Gene_genes
18452,Autism,,SFARI-Gene_genes
107975,Autism,,SFARI-Gene_genes
217893,Autism,,SFARI-Gene_genes
18475,Autism,,SFARI-Gene_genes
18478,Autism,,SFARI-Gene_genes
224105,Autism,,SFARI-Gene_genes
216578,Autism,,SFARI-Gene_genes
72823,Autism,,SFARI-Gene_genes
18507,Autism,,SFARI-Gene_genes
18508,Autism,,SFARI-Gene_genes
18514,Autism,,SFARI-Gene_genes
110821,Autism,,SFARI-Gene_genes
66904,Autism,,SFARI-Gene_genes
18526,Autism,,SFARI-Gene_genes
245578,Autism,,SFARI-Gene_genes
11994,Autism,,SFARI-Gene_genes
279653,Autism,,SFARI-Gene_genes
12695,Autism,,SFARI-Gene_genes
211712,Autism,,SFARI-Gene_genes
116731,Autism,,SFARI-Gene_genes
192161,Autism,,SFARI-Gene_genes
12942,Autism,,SFARI-Gene_genes
12943,Autism,,SFARI-Gene_genes
192164,Autism,,SFARI-Gene_genes
353234,Autism,,SFARI-Gene_genes
192163,Autism,,SFARI-Gene_genes
12936,Autism,,SFARI-Gene_genes
12941,Autism,,SFARI-Gene_genes
12937,Autism,,SFARI-Gene_genes
12939,Autism,,SFARI-Gene_genes
353235,Autism,,SFARI-Gene_genes
353236,Autism,,SFARI-Gene_genes
18536,Autism,,SFARI-Gene_genes
18566,Autism,,SFARI-Gene_genes
18575,Autism,,SFARI-Gene_genes
18604,Autism,,SFARI-Gene_genes
18626,Autism,,SFARI-Gene_genes
18627,Autism,,SFARI-Gene_genes
18634,Autism,,SFARI-Gene_genes
18676,Autism,,SFARI-Gene_genes
192285,Autism,,SFARI-Gene_genes
213109,Autism,,SFARI-Gene_genes
320595,Autism,,SFARI-Gene_genes
83946,Autism,,SFARI-Gene_genes
101471,Autism,,SFARI-Gene_genes
18709,Autism,,SFARI-Gene_genes
18740,Autism,,SFARI-Gene_genes
18793,Autism,,SFARI-Gene_genes
18795,Autism,,SFARI-Gene_genes
18802,Autism,,SFARI-Gene_genes
18846,Autism,,SFARI-Gene_genes
243743,Autism,,SFARI-Gene_genes
235611,Autism,,SFARI-Gene_genes
241274,Autism,,SFARI-Gene_genes
229584,Autism,,SFARI-Gene_genes
18969,Autism,,SFARI-Gene_genes
68273,Autism,,SFARI-Gene_genes
99011,Autism,,SFARI-Gene_genes
101185,Autism,,SFARI-Gene_genes
18993,Autism,,SFARI-Gene_genes
233977,Autism,,SFARI-Gene_genes
53892,Autism,,SFARI-Gene_genes
19052,Autism,,SFARI-Gene_genes
73699,Autism,,SFARI-Gene_genes
21770,Autism,,SFARI-Gene_genes
277360,Autism,,SFARI-Gene_genes
106042,Autism,,SFARI-Gene_genes
243548,Autism,,SFARI-Gene_genes
19085,Autism,,SFARI-Gene_genes
18750,Autism,,SFARI-Gene_genes
18751,Autism,,SFARI-Gene_genes
18760,Autism,,SFARI-Gene_genes
101540,Autism,,SFARI-Gene_genes
19090,Autism,,SFARI-Gene_genes
50873,Autism,,SFARI-Gene_genes
18423,Autism,,SFARI-Gene_genes
353237,Autism,,SFARI-Gene_genes
18673,Autism,,SFARI-Gene_genes
30955,Autism,,SFARI-Gene_genes
18979,Autism,,SFARI-Gene_genes
19049,Autism,,SFARI-Gene_genes
19125,Autism,,SFARI-Gene_genes
328110,Autism,,SFARI-Gene_genes
233210,Autism,,SFARI-Gene_genes
353211,Autism,,SFARI-Gene_genes
234353,Autism,,SFARI-Gene_genes
66997,Autism,,SFARI-Gene_genes
56195,Autism,,SFARI-Gene_genes
211612,Autism,,SFARI-Gene_genes
19211,Autism,,SFARI-Gene_genes
19225,Autism,,SFARI-Gene_genes
71461,Autism,,SFARI-Gene_genes
19247,Autism,,SFARI-Gene_genes
19263,Autism,,SFARI-Gene_genes
19264,Autism,,SFARI-Gene_genes
19281,Autism,,SFARI-Gene_genes
69675,Autism,,SFARI-Gene_genes
69232,Autism,,SFARI-Gene_genes
52055,Autism,,SFARI-Gene_genes
59021,Autism,,SFARI-Gene_genes
67790,Autism,,SFARI-Gene_genes
69834,Autism,,SFARI-Gene_genes
19353,Autism,,SFARI-Gene_genes
19357,Autism,,SFARI-Gene_genes
668929,Autism,,SFARI-Gene_genes
19377,Autism,,SFARI-Gene_genes
56044,Autism,,SFARI-Gene_genes
228850,Autism,,SFARI-Gene_genes
66011,Autism,,SFARI-Gene_genes
56508,Autism,,SFARI-Gene_genes
54354,Autism,,SFARI-Gene_genes
268859,Autism,,SFARI-Gene_genes
